Load Date,Actual,SARIMAX Full,SARIMAX Restricted,XGBoost Full,XGBoost Restricted,XGBoost No Weather,Seasonal Naïve
2025-06-02,12.685506668504996,12.715177900339064,12.715081747854985,12.690255,12.693106,12.695909,12.689192998203945
2025-06-03,12.688754934807314,12.706098438405256,12.706987918973748,12.6750555,12.672948,12.674232,12.695587805786108
2025-06-04,12.666152193578217,12.699605888611774,12.69658561675277,12.66995,12.673694,12.6757765,12.675213402608772
2025-06-05,12.687210928793933,12.717034424083323,12.717946487979756,12.66637,12.664918,12.660304,12.637134022848702
2025-06-06,12.68330011986523,12.72864472698188,12.731601356801116,12.671021,12.668091,12.670195,12.663133502281989
2025-06-07,12.612127579656768,12.677280546572824,12.677613671004314,12.60881,12.613133,12.619452,12.622055580201028
2025-06-08,12.58800979590746,12.604910792603704,12.60769009482172,12.577852,12.572648,12.574308,12.633413394155776
2025-06-09,12.633749242003557,12.643071763271335,12.645763681607033,12.612515,12.603978,12.618573,12.685506668504996
2025-06-10,12.692856569815882,12.695301996558218,12.691379252148375,12.656882,12.657685,12.638565,12.688754934807314
2025-06-11,12.674847395012376,12.708080086569876,12.704432360196062,12.672441,12.67553,12.67518,12.666152193578217
2025-06-12,12.656571665567927,12.695127030805606,12.699988560343398,12.654393,12.651484,12.669078,12.687210928793933
2025-06-13,12.610707408997625,12.649456184079812,12.659203458914568,12.637182,12.63202,12.656867,12.68330011986523
2025-06-14,12.534271465919211,12.569305513613726,12.575181528517458,12.537318,12.538712,12.54742,12.612127579656768
2025-06-15,12.553286978683287,12.562018664221261,12.562372438273984,12.53193,12.523778,12.5280905,12.58800979590746
2025-06-16,12.62501321703976,12.626289505873542,12.628300359331005,12.615434,12.615582,12.624292,12.633749242003557
2025-06-17,12.649302278859292,12.640761393104523,12.643007041766115,12.626097,12.624654,12.628186,12.692856569815882
2025-06-18,12.65024872150895,12.665128497893622,12.661915615810031,12.642522,12.638184,12.645473,12.674847395012376
2025-06-19,12.658926936892142,12.686491864313801,12.689530267941354,12.639756,12.641371,12.642783,12.656571665567927
2025-06-20,12.651370458973377,12.679541885516606,12.685589433716366,12.63517,12.632499,12.636644,12.610707408997625
2025-06-21,12.569235497404431,12.608155146224778,12.613790796181618,12.567141,12.573926,12.588137,12.534271465919211
2025-06-22,12.581325938230098,12.574984160498788,12.577837702280421,12.544061,12.55074,12.553567,12.553286978683287
2025-06-23,12.633008922784551,12.65322477149471,12.655050452730393,12.646041,12.654611,12.6635,12.62501321703976
2025-06-24,12.644169499451689,12.659368057858188,12.660114187781836,12.641587,12.641318,12.636396,12.649302278859292
2025-06-25,12.634730054331586,12.640194223407182,12.639663986140476,12.626529,12.627244,12.63987,12.65024872150895
2025-06-26,12.640653091868458,12.652212306040305,12.657918286737157,12.625846,12.625778,12.633098,12.658926936892142
2025-06-27,12.612473981906517,12.645825316353033,12.654133626000238,12.61515,12.616322,12.622576,12.651370458973377
2025-06-28,12.583570284554284,12.583956476983593,12.588105544379893,12.536596,12.535731,12.539476,12.569235497404431
2025-06-29,12.589162620284007,12.59827599055441,12.599774110702251,12.561667,12.558901,12.56048,12.581325938230098
2025-06-30,12.644098517971372,12.634149206201897,12.6394458440937,12.6392,12.646363,12.668544,12.633008922784551
2025-07-01,12.64125188362173,12.620085040645975,12.62737016965989,12.620382,12.623198,12.635625,12.644169499451689
2025-07-02,12.632134183436987,12.631750846496423,12.631986772551485,12.621395,12.620717,12.634728,12.634730054331586
2025-07-03,12.642370824560734,12.666108830054448,12.669661661025856,12.629103,12.62896,12.637283,12.640653091868458
